fecha,launched,destroyed,impactos,n_ataques,tasa_hit,tasa_intercep,wspeed_mean,wspeed_max,wgusts_max,wdir_mean,precip_sum,dias_favorable,temp_mean,net_import_mwh_week,vol_alto,import_lag1,import_lag2
2025-01-06,522.0,333.0,189.0,7,0.3620689655172414,0.6379310344827587,3.8614285714285717,7.18,11.8,194.08091465703288,6.8,5,6.141071428571428,5810.687334682589,0,5797.660183739079,5607.49201684943
2025-01-13,500.0,332.0,168.0,7,0.336,0.664,4.520773809523809,8.94,15.1,253.8015731855681,14.0,0,1.6238095238095238,5797.660183739079,0,5607.49201684943,5874.269246792421
2025-01-20,617.0,372.0,245.0,7,0.39708265802269044,0.6029173419773096,3.515952380952381,7.47,12.9,130.90867829924855,8.0,5,3.4047619047619047,5607.49201684943,0,5874.269246792421,5501.43899560959
2025-01-27,589.0,324.0,265.0,7,0.44991511035653653,0.5500848896434635,2.3446428571428575,4.96,8.3,143.7532901621663,0.3,5,3.941071428571429,5874.269246792421,0,5501.43899560959,6048.455227539305
2025-02-03,731.0,429.0,302.0,7,0.4131326949384405,0.5868673050615595,5.8655357142857145,9.94,16.4,91.72656672168534,18.400000000000002,0,-1.5160714285714287,5501.43899560959,0,6048.455227539305,5708.657987255526
2025-02-10,880.0,497.0,383.0,6,0.43522727272727274,0.5647727272727273,4.624285714285714,9.89,16.2,113.9625263272441,4.7,0,-3.6416666666666666,6048.455227539305,0,5708.657987255526,4690.7787787443485
2025-02-17,1278.0,709.0,569.0,6,0.44522691705790296,0.554773082942097,4.960476190476191,8.3,14.6,95.79555932135654,1.0,0,-4.166071428571429,5708.657987255526,1,4690.7787787443485,2688.708280737667
2025-02-24,1080.0,652.0,428.0,7,0.3962962962962963,0.6037037037037037,3.739404761904762,6.62,11.5,185.22599948500647,4.4,3,-4.447619047619048,4690.7787787443485,0,2688.708280737667,2491.531851320895
2025-03-03,1026.0,630.0,396.0,7,0.38596491228070173,0.6140350877192983,5.4626190476190475,10.48,17.5,196.75628185975157,1.2,0,4.280952380952381,2688.708280737667,0,2491.531851320895,3018.936151432944
2025-03-10,845.0,534.0,311.0,7,0.3680473372781065,0.6319526627218935,5.011785714285714,9.27,15.2,199.56811157262663,0.0,1,12.488095238095239,2491.531851320895,0,3018.936151432944,2624.723181157655
2025-03-17,1092.0,578.0,514.0,7,0.4706959706959707,0.5293040293040293,4.242261904761905,7.36,13.0,157.81530735059556,8.799999999999999,0,6.639880952380952,3018.936151432944,1,2624.723181157655,3056.4586251670653
2025-03-24,919.0,481.0,438.0,7,0.4766050054406964,0.5233949945593036,4.309464285714285,8.32,13.9,110.7914647927552,13.5,3,11.672619047619047,2624.723181157655,0,3056.4586251670653,2748.612180072881
2025-03-31,392.0,202.0,190.0,5,0.4846938775510204,0.5153061224489796,3.947142857142857,8.74,15.2,186.91424978503392,31.3,1,12.626190476190475,3056.4586251670653,0,2748.612180072881,2745.085521917648
2025-04-07,490.0,289.0,201.0,7,0.41020408163265304,0.5897959183673469,3.389464285714286,7.78,14.8,209.78680282578168,33.3,2,6.445833333333334,2748.612180072881,0,2745.085521917648,2754.712310701781
2025-04-14,348.0,164.0,184.0,5,0.5287356321839081,0.47126436781609193,4.449642857142857,8.03,14.1,71.84944325675785,0.0,2,13.979761904761904,2745.085521917648,0,2754.712310701781,3004.0503681702958
2025-04-21,1038.0,453.0,585.0,7,0.5635838150289018,0.43641618497109824,2.923690476190476,8.44,15.8,255.899695298001,11.1,1,14.657738095238097,2754.712310701781,0,3004.0503681702958,2400.7632586448885
2025-04-28,992.0,413.0,579.0,7,0.5836693548387096,0.4163306451612903,2.7938690476190478,7.75,13.5,89.53183603952333,0.9,0,12.985714285714286,3004.0503681702958,0,2400.7632586448885,2854.075467216422
2025-05-05,570.0,270.0,300.0,4,0.5263157894736842,0.47368421052631576,3.247738095238095,7.92,12.9,262.3324619103292,11.0,1,15.586309523809522,2400.7632586448885,0,2854.075467216422,2422.5833297544877
2025-05-12,824.0,390.0,434.0,6,0.5266990291262136,0.4733009708737864,3.752440476190476,7.52,12.9,225.09131179201526,6.1,2,15.467857142857143,2854.075467216422,0,2422.5833297544877,2399.9640699413135
2025-05-19,1390.0,722.0,668.0,6,0.4805755395683453,0.5194244604316547,5.359345238095238,10.0,16.0,173.50573437198037,18.1,3,18.191071428571426,2422.5833297544877,1,2399.9640699413135,-590.1454955477809
2025-05-26,987.0,369.0,618.0,7,0.6261398176291794,0.3738601823708207,4.281309523809524,9.55,16.3,194.84140350119478,52.6,3,20.09047619047619,2399.9640699413135,0,-590.1454955477809,-534.4418169824481
2025-06-02,1451.0,709.0,742.0,7,0.5113714679531358,0.48862853204686424,2.829761904761905,6.3,11.3,281.86171433714446,0.5,0,23.0922619047619,-590.1454955477809,1,-534.4418169824481,-126.4997905263574
2025-06-09,897.0,527.0,370.0,7,0.4124860646599777,0.5875139353400223,3.9231547619047618,8.76,16.7,208.47731709460484,18.2,0,22.41904761904762,-534.4418169824481,0,-126.4997905263574,-873.3443586408729
2025-06-16,1367.0,637.0,730.0,7,0.5340160936356986,0.46598390636430137,4.891071428571428,8.35,14.2,274.63859778885734,67.6,0,20.258928571428573,-126.4997905263574,1,-873.3443586408729,-344.0008321563129
2025-06-23,1179.0,610.0,569.0,7,0.48261238337574214,0.5173876166242578,5.0874404761904755,8.77,15.2,265.0382124090604,24.5,0,20.63452380952381,-873.3443586408729,1,-344.0008321563129,-89.22714837856284
