oblast,best_lag,best_r,n_air,n_bat
Donetsk,1,-0.20624842720404116,685,4215
Kharkiv,-3,-0.24917288006078592,530,1086
Zaporizhia,4,0.196730520602565,746,341
Kherson,4,-0.23888463291673212,412,213
Kursk,4,0.5768125547953795,750,1025
